START BATCH CODE;START EVENT MONTH;START EVENT CALENDAR WEEK;END BATCH CODE;MATERIAL;END TIME;END EVENT MONTH;END EVENT CALENDAR WEEK;YEAR WEEK;CYCLE TIME;TARGET CYCLE TIME
S0076;11;49;E0076;PRODUCT T;2022-10-27;10;43;2022 - W43;332;100
S0077;5;23;E0077;PRODUCT T;2022-10-27;10;43;2022 - W43;150;100
S0078;11;49;E0078;PRODUCT T;2022-10-27;10;43;2022 - W43;332;100
S0079;5;20;E0079;PRODUCT T;2022-11-02;11;44;2022 - W44;177;100
S0080;5;22;E0080;PRODUCT T;2022-11-03;11;44;2022 - W44;163;100
S0081;4;15;E0081;PRODUCT C;2022-10-28;10;43;2022 - W43;202;100
S0082;8;33;E0082;PRODUCT F;2022-10-27;10;43;2022 - W43;75;100
S0083;8;33;E0083;PRODUCT F;2022-11-08;11;45;2022 - W45;88;100
S0084;2;6;E0084;PRODUCT T;2022-11-01;11;44;2022 - W44;273;100
S0085;3;14;E0085;PRODUCT TH;2022-10-28;10;43;2022 - W43;211;100
S0086;4;17;E0086;PRODUCT T;2022-10-28;10;43;2022 - W43;193;100
S0087;9;36;E0087;PRODUCT N;2022-11-02;11;44;2022 - W44;427;100
S0088;7;31;E0088;PRODUCT F;2022-11-01;11;44;2022 - W44;95;100
S0089;7;31;E0089;PRODUCT F;2022-11-01;11;44;2022 - W44;95;100
S0090;8;35;E0090;PRODUCT M;2022-11-07;11;45;2022 - W45;75;100
S0091;6;24;E0091;PRODUCT N;2022-11-04;11;44;2022 - W44;146;100
S0092;8;34;E0092;PRODUCT M;2022-11-08;11;45;2022 - W45;82;100
S0093;8;35;E0093;PRODUCT M;2022-11-07;11;45;2022 - W45;73;100
S0094;8;35;E0094;PRODUCT M;2022-11-03;11;44;2022 - W44;69;100
S0095;8;33;E0095;PRODUCT F;2022-11-09;11;45;2022 - W45;89;100
S0096;8;33;E0096;PRODUCT F;2022-11-08;11;45;2022 - W45;88;100
S0097;10;40;E0097;PRODUCT F;2022-11-01;11;44;2022 - W44;396;100
S0098;8;35;E0098;PRODUCT M;2022-11-02;11;44;2022 - W44;67;100
S0099;9;40;E0099;PRODUCT T;2022-11-10;11;45;2022 - W45;409;100
S0100;12;51;E0100;PRODUCT T;2022-11-08;11;45;2022 - W45;325;100
S0101;4;16;E0101;PRODUCT T;2022-11-08;11;45;2022 - W45;209;100
S0102;7;31;E0102;PRODUCT F;2022-11-09;11;45;2022 - W45;102;100
S0103;7;31;E0103;PRODUCT F;2022-11-03;11;44;2022 - W44;96;100
S0104;9;36;E0104;PRODUCT N;2022-11-04;11;44;2022 - W44;430;100
S0105;7;31;E0105;PRODUCT F;2022-11-11;11;45;2022 - W45;104;100
S0106;8;33;E0106;PRODUCT F;2022-11-03;11;44;2022 - W44;83;100
S0107;3;10;E0107;PRODUCT F;2022-11-08;11;45;2022 - W45;613;100
S0108;7;27;E0108;PRODUCT C;2022-11-09;11;45;2022 - W45;130;100
S0109;3;13;E0109;PRODUCT T;2022-11-09;11;45;2022 - W45;229;100
S0110;2;6;E0110;PRODUCT T;2022-11-18;11;46;2022 - W46;290;100
S0111;8;34;E0111;PRODUCT M;2022-11-10;11;45;2022 - W45;81;100
S0112;8;34;E0112;PRODUCT M;2022-11-08;11;45;2022 - W45;79;100
S0113;8;32;E0113;PRODUCT M;2022-11-07;11;45;2022 - W45;94;100
S0114;3;12;E0114;PRODUCT O;2022-11-08;11;45;2022 - W45;234;100
S0115;8;32;E0115;PRODUCT TH;2022-11-09;11;45;2022 - W45;100;100
S0116;6;26;E0116;PRODUCT TH;2022-11-15;11;46;2022 - W46;143;100
S0117;8;33;E0117;PRODUCT F;2022-11-11;11;45;2022 - W45;91;100
S0118;7;31;E0118;PRODUCT F;2022-11-11;11;45;2022 - W45;104;100
S0119;12;51;E0119;PRODUCT T;2022-11-14;11;46;2022 - W46;330;100
S0120;6;26;E0120;PRODUCT TH;2022-11-11;11;45;2022 - W45;139;100
S0121;6;26;E0121;PRODUCT TH;2022-11-15;11;46;2022 - W46;142;100
S0122;5;20;E0122;PRODUCT N;2022-11-17;11;46;2022 - W46;191;100
S0123;6;26;E0123;PRODUCT TH;2022-11-15;11;46;2022 - W46;143;100
S0124;1;2;E0124;PRODUCT T;2022-11-14;11;46;2022 - W46;310;100
S0125;8;34;E0125;PRODUCT M;2022-11-21;11;47;2022 - W47;92;100
S0126;8;34;E0126;PRODUCT M;2022-11-21;11;47;2022 - W47;92;100
S0127;8;35;E0127;PRODUCT M;2022-11-11;11;45;2022 - W45;77;100
